League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2022-9-23;28;0;5;0;Pre-Season;0;0;0;15329
0;2022-9-23;22;0;4182;0;Pre-Season;0;0;0;15331
0;2022-9-23;17;0;19;0;Pre-Season;0;0;0;15327
0;2022-9-23;25;0;15;0;Pre-Season;0;0;0;15335
0;2022-9-23;10;0;26;0;Pre-Season;0;0;0;15339
0;2022-9-23;33;0;20;0;Pre-Season;0;0;0;15341
0;2022-9-23;35;0;3;0;Pre-Season;0;0;0;15337
0;2022-9-23;9;0;24;0;Pre-Season;0;0;0;15333
0;2022-9-23;11;0;29;0;Pre-Season;0;0;0;15317
0;2022-9-23;16;0;12;0;Pre-Season;0;0;0;15315
0;2022-9-23;21;0;27;0;Pre-Season;0;0;0;15325
0;2022-9-23;0;0;32;0;Pre-Season;0;0;0;15313
0;2022-9-23;14;0;8;0;Pre-Season;0;0;0;15311
0;2022-9-23;30;0;18;0;Pre-Season;0;0;0;15321
0;2022-9-23;4838;0;31;0;Pre-Season;0;0;0;15323
0;2022-9-23;23;0;34;0;Pre-Season;0;0;0;15319
0;2022-9-25;31;0;16;0;Pre-Season;0;0;0;15363
0;2022-9-25;12;0;28;0;Pre-Season;0;0;0;15361
0;2022-9-25;20;0;0;0;Pre-Season;0;0;0;15367
0;2022-9-25;33;0;22;0;Pre-Season;0;0;0;15369
0;2022-9-25;19;0;9;0;Pre-Season;0;0;0;15371
0;2022-9-25;5;0;32;0;Pre-Season;0;0;0;15373
0;2022-9-25;4182;0;30;0;Pre-Season;0;0;0;15359
0;2022-9-25;24;0;29;0;Pre-Season;0;0;0;15365
0;2022-9-25;23;0;25;0;Pre-Season;0;0;0;15349
0;2022-9-25;27;0;10;0;Pre-Season;0;0;0;15347
0;2022-9-25;34;0;11;0;Pre-Season;0;0;0;15343
0;2022-9-25;18;0;21;0;Pre-Season;0;0;0;15345
0;2022-9-25;14;0;4838;0;Pre-Season;0;0;0;15357
0;2022-9-25;26;0;17;0;Pre-Season;0;0;0;15353
0;2022-9-25;8;0;35;0;Pre-Season;0;0;0;15355
0;2022-9-25;3;0;15;0;Pre-Season;0;0;0;15351
0;2022-9-26;3;0;34;0;Pre-Season;0;0;0;15397
0;2022-9-26;16;0;33;0;Pre-Season;0;0;0;15393
0;2022-9-26;28;0;29;0;Pre-Season;0;0;0;15399
0;2022-9-26;0;0;24;0;Pre-Season;0;0;0;15401
0;2022-9-26;11;0;15;0;Pre-Season;0;0;0;15403
0;2022-9-26;32;0;4182;0;Pre-Season;0;0;0;15405
0;2022-9-26;14;0;27;0;Pre-Season;0;0;0;15391
0;2022-9-26;19;0;12;0;Pre-Season;0;0;0;15395
0;2022-9-26;25;0;8;0;Pre-Season;0;0;0;15381
0;2022-9-26;5;0;23;0;Pre-Season;0;0;0;15379
0;2022-9-26;22;0;18;0;Pre-Season;0;0;0;15389
0;2022-9-26;35;0;20;0;Pre-Season;0;0;0;15377
0;2022-9-26;9;0;21;0;Pre-Season;0;0;0;15375
0;2022-9-26;4838;0;17;0;Pre-Season;0;0;0;15385
0;2022-9-26;26;0;31;0;Pre-Season;0;0;0;15387
0;2022-9-26;10;0;30;0;Pre-Season;0;0;0;15383
0;2022-9-28;17;0;32;0;Pre-Season;0;0;0;15415
0;2022-9-28;30;0;19;0;Pre-Season;0;0;0;15417
0;2022-9-28;25;0;4838;0;Pre-Season;0;0;0;15413
0;2022-9-28;15;0;10;0;Pre-Season;0;0;0;15411
0;2022-9-28;9;0;3;0;Pre-Season;0;0;0;15409
0;2022-9-28;18;0;21;0;Pre-Season;0;0;0;15407
0;2022-9-28;20;0;5;0;Pre-Season;0;0;0;15419
0;2022-9-28;27;0;33;0;Pre-Season;0;0;0;15421
0;2022-9-28;31;0;28;0;Pre-Season;0;0;0;15435
0;2022-9-28;23;0;35;0;Pre-Season;0;0;0;15433
0;2022-9-28;24;0;34;0;Pre-Season;0;0;0;15431
0;2022-9-28;12;0;16;0;Pre-Season;0;0;0;15437
0;2022-9-28;0;0;14;0;Pre-Season;0;0;0;15423
0;2022-9-28;8;0;11;0;Pre-Season;0;0;0;15429
0;2022-9-28;22;0;26;0;Pre-Season;0;0;0;15425
0;2022-9-28;4182;0;29;0;Pre-Season;0;0;0;15427
0;2022-9-29;16;0;24;0;Pre-Season;0;0;0;15457
0;2022-9-29;5;0;20;0;Pre-Season;0;0;0;15461
0;2022-9-29;18;0;30;0;Pre-Season;0;0;0;15459
0;2022-9-29;23;0;15;0;Pre-Season;0;0;0;15463
0;2022-9-29;31;0;8;0;Pre-Season;0;0;0;15467
0;2022-9-29;35;0;3;0;Pre-Season;0;0;0;15469
0;2022-9-29;10;0;27;0;Pre-Season;0;0;0;15465
0;2022-9-29;12;0;0;0;Pre-Season;0;0;0;15455
0;2022-9-29;29;0;28;0;Pre-Season;0;0;0;15439
0;2022-9-29;32;0;17;0;Pre-Season;0;0;0;15441
0;2022-9-29;11;0;19;0;Pre-Season;0;0;0;15445
0;2022-9-29;4182;0;9;0;Pre-Season;0;0;0;15443
0;2022-9-29;21;0;25;0;Pre-Season;0;0;0;15447
0;2022-9-29;34;0;14;0;Pre-Season;0;0;0;15451
0;2022-9-29;4838;0;26;0;Pre-Season;0;0;0;15453
0;2022-9-29;33;0;22;0;Pre-Season;0;0;0;15449
0;2022-10-1;10;0;5;0;Pre-Season;0;0;0;15493
0;2022-10-1;26;0;3;0;Pre-Season;0;0;0;15491
0;2022-10-1;25;0;32;0;Pre-Season;0;0;0;15489
0;2022-10-1;4838;0;18;0;Pre-Season;0;0;0;15501
0;2022-10-1;28;0;12;0;Pre-Season;0;0;0;15495
0;2022-10-1;24;0;22;0;Pre-Season;0;0;0;15487
0;2022-10-1;14;0;35;0;Pre-Season;0;0;0;15497
0;2022-10-1;21;0;33;0;Pre-Season;0;0;0;15499
0;2022-10-1;27;0;4182;0;Pre-Season;0;0;0;15479
0;2022-10-1;19;0;16;0;Pre-Season;0;0;0;15471
0;2022-10-1;34;0;11;0;Pre-Season;0;0;0;15473
0;2022-10-1;9;0;0;0;Pre-Season;0;0;0;15475
0;2022-10-1;17;0;20;0;Pre-Season;0;0;0;15485
0;2022-10-1;30;0;31;0;Pre-Season;0;0;0;15481
0;2022-10-1;15;0;23;0;Pre-Season;0;0;0;15483
0;2022-10-1;8;0;29;0;Pre-Season;0;0;0;15477
0;2022-10-2;10;0;26;0;Pre-Season;0;0;0;15523
0;2022-10-2;27;0;25;0;Pre-Season;0;0;0;15521
0;2022-10-2;14;0;8;0;Pre-Season;0;0;0;15525
0;2022-10-2;35;0;3;0;Pre-Season;0;0;0;15527
0;2022-10-2;21;0;24;0;Pre-Season;0;0;0;15529
0;2022-10-2;29;0;28;0;Pre-Season;0;0;0;15531
0;2022-10-2;23;0;0;0;Pre-Season;0;0;0;15519
0;2022-10-2;18;0;34;0;Pre-Season;0;0;0;15515
0;2022-10-2;5;0;19;0;Pre-Season;0;0;0;15503
0;2022-10-2;22;0;9;0;Pre-Season;0;0;0;15505
0;2022-10-2;16;0;11;0;Pre-Season;0;0;0;15517
0;2022-10-2;20;0;4182;0;Pre-Season;0;0;0;15507
0;2022-10-2;12;0;4838;0;Pre-Season;0;0;0;15509
0;2022-10-2;17;0;30;0;Pre-Season;0;0;0;15533
0;2022-10-2;33;0;31;0;Pre-Season;0;0;0;15511
0;2022-10-2;32;0;15;0;Pre-Season;0;0;0;15513
0;2022-10-7;32;0;27;0;Regular Season;0;0;0;0
0;2022-10-8;27;0;32;0;Regular Season;0;0;0;1
0;2022-10-11;10;0;29;0;Regular Season;0;0;0;3
0;2022-10-11;11;0;4182;0;Regular Season;0;0;0;2
0;2022-10-12;22;0;5;0;Regular Season;0;0;0;9
